Op,FName,Index,GMS v12,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
COCONUT,CField_Coconut::BasicActionAttack,106,0x06A,213,0x0D5,226,0x0E2,250,0x0FA,257,0x101,,0x000,224,0x0E0
MATCH_TABLE,CField::SendChatMsgSlash,109,0x06D,214,0x0D6,227,0x0E3,251,0x0FB,258,0x102,,0x000,225,0x0E1
GUILD_BOSS,CField_GuildBoss::BasicActionAttack,,0x000,215,0x0D7,228,0x0E4,252,0x0FC,259,0x103,,0x000,226,0x0E2
n/a,n/a,,0x000,216,0x0D8,229,0x0E5,253,0x0FD,260,0x104,,0x000,227,0x0E3
n/a,n/a,,0x000,217,0x0D9,230,0x0E6,254,0x0FE,261,0x105,,0x000,228,0x0E4
MONSTER_CARNIVAL,CUIMonsterCarnival::RequestSend,,0x000,218,0x0DA,231,0x0E7,255,0x0FF,262,0x106,379,0x17B,229,0x0E5
n/a,n/a,,0x000,219,0x0DB,232,0x0E8,256,0x100,263,0x107,,0x000,,0x000
CONTI_MOVE,CField_ContiMove::Init,,0x000,,0x000,,0x000,,0x000,264,0x108,,0x000,,0x000
,,,0x000,220,0x0DC,233,0x0E9,257,0x101,,0x000,,0x000,230,0x0E6
n/a,n/a,,0x000,221,0x0DD,234,0x0EA,258,0x102,265,0x109,,0x000,,0x000
PARTY_SEARCH_START,CWvsContext::SendPartyWanted,,0x000,222,0x0DE,235,0x0EB,259,0x103,266,0x10A,388,0x184,233,0x0E9
PARTY_SEARCH_UPDATE,CWvsContext::SendCancelPartyWanted,,0x000,223,0x0DF,236,0x0EC,260,0x104,267,0x10B,389,0x185,234,0x0EA
n/a,n/a,,0x000,224,0x0E0,237,0x0ED,261,0x105,268,0x10C,,0x000,235,0x0EB
REQUEST_FOOTHOLD_INFO,CStage::OnSetField,,0x000,225,0x0E1,238,0x0EE,262,0x106,269,0x10D,,0x000,236,0x0EC
FOOTHOLD_INFO,CField::OnRequestFootHoldInfo,,0x000,226,0x0E2,239,0x0EF,263,0x107,270,0x10E,,0x000,237,0x0ED
BEANS_OPERATION,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,238,0x0EE
BEANS_UPDATE,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,239,0x0EF
n/a,n/a,,0x000,227,0x0E3,240,0x0F0,264,0x108,271,0x10F,,0x000,240,0x0F0
n/a,n/a,,0x000,,0x000,,0x000,265,0x109,272,0x110,,0x000,241,0x0F1
n/a,n/a,,0x000,,0x000,,0x000,266,0x10A,273,0x111,,0x000,242,0x0F2
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,243,0x0F3
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
CHECK_CASH,CCashShop::TrySendQueryCashRequest,118,0x076,228,0x0E4,241,0x0F1,267,0x10B,274,0x112,402,0x192,244,0x0F4
CASHSHOP_OPERATION,"CCashShop::RequestCashPurchaseRecord
CCashShop::OnMoveCashItemLtoS
CCashShop::OnMoveCashItemStoL
CCashShop::ApplyWishListEvent
CCashShop::SendBuyTransferWorldItemPacket
CCashShop::OnSetWish
CCashShop::OnRemoveWish
CCashShop::SendBuyAvatarPacket
CCashShop::OnRebateLockerItem
CCashShop::SendGiftsPacket
CCashShop::SendBuyNameChangeItemPacket
CCashShop::OnExItemSlot
CCashShop::OnIncTrunkCount
CCashShop::OnIncCharacterSlotCount
CCashShop::OnEnableEquipSlotExt
CCashShop::OnBuy
CCashShop::OnBuyPackage
CCashShop::OnBuyNormal
CCashShop::OnGiftMateInfoResult
CCashShop::OnGiftPackage
CCashShop::OnBuyCouple
CCashShop::OnBuySlotInc
CCashShop::OnBuyFriendship
CCashShop::GiftWishItem
CCashShop::OnCashGachaponCopy",119,0x077,229,0x0E5,242,0x0F2,268,0x10C,275,0x113,403,0x193,245,0x0F5
COUPON_CODE,CCashShop::OnStatusCoupon,120,0x078,230,0x0E6,243,0x0F3,269,0x10D,276,0x114,404,0x194,246,0x0F6
n/a,n/a,,0x000,231,0x0E7,244,0x0F4,270,0x10E,277,0x115,,0x000,247,0x0F7
n/a,n/a,,0x000,232,0x0E8,245,0x0F5,271,0x10F,278,0x116,,0x000,248,0x0F8
n/a,n/a,,0x000,233,0x0E9,246,0x0F6,272,0x110,279,0x117,,0x000,249,0x0F9
n/a,n/a,,0x000,234,0x0EA,247,0x0F7,273,0x111,280,0x118,,0x000,250,0x0FA
n/a,n/a,,0x000,235,0x0EB,248,0x0F8,274,0x112,281,0x119,,0x000,251,0x0FB
n/a,n/a,,0x000,,0x000,249,0x0F9,275,0x113,282,0x11A,,0x000,252,0x0FC
OPEN_ITEMUI,CUIRaiseWndBase::OnCreate,,0x000,236,0x0EC,250,0x0FA,276,0x114,283,0x11B,,0x000,253,0x0FD
CLOSE_ITEMUI,"CUIRaiseWndBase::CUIRaiseWndBase
CUIRaiseWndBase::~CUIRaiseWndBase",,0x000,237,0x0ED,251,0x0FB,277,0x115,284,0x11C,,0x000,254,0x0FE
USE_ITEMUI,CUIRaiseWnd::SendPutItem,,0x000,238,0x0EE,252,0x0FC,278,0x116,285,0x11D,,0x000,255,0x0FF
RAISE_PIECE_PUT_ITEM,CUIRaisePieceWnd::SendPutItem,,0x000,239,0x0EF,253,0x0FD,279,0x117,286,0x11E,,0x000,256,0x100
n/a,n/a,,0x000,240,0x0F0,254,0x0FE,280,0x118,287,0x11F,,0x000,257,0x101
n/a,n/a,,0x000,241,0x0F1,255,0x0FF,281,0x119,288,0x120,,0x000,258,0x102
n/a,n/a,,0x000,242,0x0F2,256,0x100,282,0x11A,289,0x121,,0x000,259,0x103
n/a,n/a,,0x000,243,0x0F3,257,0x101,283,0x11B,290,0x122,,0x000,260,0x104
REQUEST_AUTH_KEY,CClassCompetition::SendRequestAuthKey,,0x000,244,0x0F4,258,0x102,284,0x11C,291,0x123,,0x000,261,0x105
REQUEST_AUTH_KEY_2,CUIWebEvent::SendRequestAuthKey,,0x000,245,0x0F5,259,0x103,285,0x11D,292,0x124,,0x000,262,0x106
n/a,n/a,,0x000,246,0x0F6,260,0x104,286,0x11E,293,0x125,,0x000,263,0x107
n/a,n/a,,0x000,247,0x0F7,261,0x105,287,0x11F,294,0x126,,0x000,264,0x108
n/a,n/a,,0x000,248,0x0F8,262,0x106,288,0x120,295,0x127,,0x000,265,0x109
ITEM_UPGRADE_UPDATE,CUIItemUpgrade::Update,,0x000,260,0x104,274,0x112,300,0x12C,296,0x128,,0x000,276,0x114
n/a,n/a,,0x000,,0x000,,0x000,,0x000,297,0x129,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,,0x000,298,0x12A,,0x000,,0x000
BATTLE_RECORD_REQUEST,CBattleRecordMan::RequestOnCalc,,0x000,,0x000,,0x000,,0x000,299,0x12B,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,,0x000,300,0x12C,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,,0x000,301,0x12D,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,,0x000,302,0x12E,,0x000,,0x000
USE_MAPLELIFE,,,0x000,,0x000,,0x000,,0x000,303,0x12F,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,,0x000,304,0x130,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,,0x000,305,0x131,,0x000,,0x000
ITC_STATUS_CHARGE,CITC::OnStatusCharge,,0x000,251,0x0FB,265,0x109,,0x000,306,0x132,,0x000,266,0x10A
ITC_QUERY_CASH_REQUEST,CITC::TrySendQueryCashRequest,,0x000,252,0x0FC,266,0x10A,,0x000,307,0x133,,0x000,267,0x10B
ITC_OPERATION,"CITC::OnRegisterSaleEntry
CITC::OnSaleCurrentItem
CITC::OnBuy
CITC::OnBuyAuctionImm
CITC::OnSetZzim
CITC::OnBuyZzim
CITC::OnDeleteZzim
CITC::OnViewWish
CITC::OnBuyWish
CITC::OnCancelWish
CITC::OnCancelSaleItem
CITC::OnMoveITCPurchaseItemLtoS
CITC::OnChangedCategorySub
CITC::OnChangedPage
CITC::OnRegisterWishEntry
CITC::OnChangedCategory
CITCWnd_Tab::OnButtonClicked
CITCBidAuctionDlg::OnButtonClicked",,0x000,253,0x0FD,267,0x10B,,0x000,308,0x134,,0x000,268,0x10C
n/a,n/a,,0x000,,0x000,268,0x10C,,0x000,309,0x135,,0x000,269,0x10D
n/a,n/a,,0x000,,0x000,269,0x10D,,0x000,310,0x136,,0x000,270,0x10E
JMS_SLASH_COMMAND,CUICharacterSaleDlg::SendCheckDuplicateIDPacket,,0x000,,0x000,270,0x10E,,0x000,311,0x137,,0x000,271,0x10F
n/a,n/a,,0x000,,0x000,271,0x10F,,0x000,312,0x138,,0x000,272,0x110
,,,0x000,,0x000,272,0x110,,0x000,,0x000,,0x000,273,0x111
,,,0x000,,0x000,273,0x111,,0x000,,0x000,,0x000,274,0x112
,,,0x000,,0x000,274,0x112,,0x000,,0x000,,0x000,275,0x113
,,,0x000,,0x000,275,0x113,,0x000,,0x000,,0x000,277,0x115
ON_LOGOUT_GIFT,CUILogoutGift::OnButtonClicked,,0x000,,0x000,276,0x114,,0x000,313,0x139,,0x000,278,0x116
